"ID","host_id","price_dollars","latitude","longitude","dist_stephansdom_km","dist_schonbrunn_km","dist_train_station_km","neighbourhood","room_type","accomodates","bathrooms","beds","cleaning_service","air_conditioning","self_checkin","host_acceptance_rate","host_listings_count","number_of_reviews","apt_age_days","review_scores_rating","reviews_per_month"
80238,146750922,115,48.2245397,16.337697,3.23,4.8,5.12,"Währing","Entire home/apt",5,1,3,"0","0","1",0.99,6,25,193,4.88,3.89
58047,277928234,140,48.19557,16.33265,3.34,2.25,3.25,"Rudolfsheim-Fünfhaus","Entire home/apt",5,1,4,"0","0","1",1,2,5,160,5,0.94
62427,474456233,217,48.2111742,16.3264116,3.52,3.1,4.53,"Ottakring","Entire home/apt",5,3,4,"0","0","1",0.97,18,15,200,4.73,2.25
78611,432869386,117,48.2216880354846,16.40469315498,2.75,8.32,4.66,"Leopoldstadt","Entire home/apt",3,1,1,"0","1","1",0.99,4,30,201,4.77,4.48
75790,432869386,98,48.2236072915723,16.4060010052365,2.96,8.51,4.89,"Leopoldstadt","Entire home/apt",2,1,1,"0","1","1",0.99,4,50,230,4.66,6.52
33852,543488122,170,48.1965608582393,16.349983251227,2.17,3.49,2.16,"Mariahilf","Private room",2,1,1,"0","1","0",0.89,1,1,255,1,0.12
45721,466598000,61,48.16357,16.31817,6.43,2.81,4.77,"Meidling","Entire home/apt",4,1,2,"0","0","1",1,46,1,11,4,1
56640,99909244,44,48.2072344556395,16.3239391781791,3.68,2.63,4.42,"Ottakring","Entire home/apt",2,1,1,"0","0","1",1,3,7,246,3.57,0.85
71413,559836056,119,48.2685950579603,16.4404507058945,8.35,13.51,10.5,"Floridsdorf","Entire home/apt",8,1,5,"0","0","1",0.96,1,14,144,4.5,2.92
46425,95519429,72,48.1869777298419,16.3281851460327,4.1,1.72,3.38,"Rudolfsheim-Fünfhaus","Entire home/apt",2,1,1,"0","0","1",1,2,29,233,4.83,3.73
20900,557060014,45,48.173160939944,16.4198118631537,5.18,8.66,3.68,"Simmering","Private room",2,1,2,"0","0","1",1,13,14,77,4.36,5.45
19511,547677118,110,48.19738,16.40682,2.73,7.63,2.8,"Landstraße","Entire home/apt",6,1,3,"0","0","1",0.99,124,15,216,3.87,2.08
29656,557060014,117,48.1747482602714,16.4183592671378,4.97,8.52,3.52,"Simmering","Entire home/apt",6,1,4,"0","0","1",1,13,7,117,4,1.79
89168,300246929,107,48.2285177545631,16.3496868184642,2.88,5.66,5.13,"Währing","Entire home/apt",5,1,3,"1","0","1",0.98,33,34,213,4.47,4.79
46832,99909244,78,48.2216291554287,16.3149224221868,4.6,3.89,5.94,"Ottakring","Entire home/apt",5,1,3,"0","0","1",1,3,2,179,5,0.34
72886,557594769,104,48.25041,16.43586,6.59,11.97,8.59,"Donaustadt","Entire home/apt",2,1,1,"1","0","0",1,1,57,227,4.95,7.53
36164,428140558,45,48.177362386775,16.3376462261422,4.33,2.66,2.81,"Meidling","Private room",2,1,1,"0","0","1",0.96,1,29,172,4.9,5.06
37640,351699321,69,48.2095585558124,16.3933891269611,1.47,7.01,3.07,"Landstraße","Entire home/apt",3,1,2,"1","0","1",0.99,12,18,186,4.78,2.9
67897,57620388,25,48.2341151866578,16.3633508607745,2.99,6.77,5.48,"Brigittenau","Private room",2,2,1,"0","0","1",0.17,1,15,149,4.6,3.02
81324,547677118,130,48.1971892143808,16.3223368476375,3.99,1.7,4.03,"Rudolfsheim-Fünfhaus","Entire home/apt",7,1,4,"0","0","1",0.99,124,33,180,4.61,5.5
37545,547677118,95,48.1970579062242,16.3217565869218,4.03,1.65,4.06,"Rudolfsheim-Fünfhaus","Entire home/apt",4,1,2,"0","0","1",0.99,124,32,215,4.72,4.47
76046,547677118,100,48.195653005948,16.3219159744154,4.07,1.57,4,"Rudolfsheim-Fünfhaus","Entire home/apt",6,1,3,"0","0","1",0.99,124,30,209,4.8,4.31
14163,547677118,113,48.197045777934,16.323213585022,3.93,1.74,3.96,"Rudolfsheim-Fünfhaus","Entire home/apt",7,1,4,"0","0","1",0.99,124,33,213,4.7,4.65
88605,539870211,79,48.2210196116786,16.3362354040146,3.12,4.41,4.85,"Währing","Entire home/apt",2,1,1,"0","0","1",1,4,19,221,4.89,2.58
